0.0125,0.0125,0.0125,0.0125,0.0125,0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.0625,0.075,0.075,0.0875,0.0875,0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.0125,0.0125,0.0125,0.0125,0.0125,0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.0875,0.0875,0.0625,0.075,0.05,0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.0125,0.0125,0.0125,0.0125,0.0125,0.05,0.05,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625
0.05,0.05,0.05,0.0375,0.05,0.05,0.05,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625
0.0625,0.0625,0.075,0.0625,0.0625,0.05,0.05,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.05,0.05,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625
0.05,0.05,0.05,0.05,0.0625,0.05,0.05,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.05,0.05,0.0375,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0625,0.05,0.0375,0.05,0.05,0.05,0.0375,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.05,0.0375,0.0375,0.05,0.05,0.0625,0.0375,0.0375,0.05,0.05,0.0625
0.0125,0.0125,0.0125,0.0125,0.0125,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075
0.0375,0.0375,0.0375,0.0375,0.0375,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075
0.0625,0.075,0.075,0.075,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.0625
0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.05,0.0625,0.0625,0.0625,0.05,0.05,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.075
0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.05,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.0625,0.0625,0.0625,0.075,0.05,0.05,0.0625,0.0625,0.075
0.0125,0.0125,0.0125,0.0125,0.0125,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.0625,0.0625,0.0625,0.05,0.0375,0.0625,0.0625,0.0625,0.05,0.0375,0.0625,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.0625,0.0625,0.0625,0.05,0.0375,0.0625
0.0375,0.0375,0.0375,0.025,0.0375,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.0625,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05
0.0625,0.0625,0.0625,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05
0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05
0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.0625,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.05,0.0625,0.0625,0.05,0.0375,0.0625
0.0125,0.0125,0.0125,0.0125,0.0125,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.05,0.05,0.05,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.05,0.0375,0.0375,0.0375,0.0375,0.05,0.0375,0.0375,0.0375,0.0375
0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
